ID,Name,Subtitle,URL,GenreID,DeveloperID,Age Rating,Average User Rating,Purchases?,User Rating Count,Price
1,3D Chess Game,,https://apps.apple.com/us/app/3d-chess-game/id889740352,3,3,12,4.5,0,7797,0
2,Aces Spades,,https://apps.apple.com/us/app/aces-spades/id553853911,4,11,12,4,1,4298,0
3,AdVenture Communist,Anti-Capitalist Idle Clicker!,https://apps.apple.com/us/app/adventure-communist/id1225683141,14,12,4,4.5,1,25433,0
4,Age of Lords: Legends & Rebels,Become a kingdom builder!,https://apps.apple.com/us/app/age-of-lords-legends-rebels/id908924987,13,13,12,4.5,1,675,0
5,Aim Master,Aim Training For iOS!,https://apps.apple.com/us/app/aim-master/id1452404105,14,14,4,3.5,1,707,0
6,Aion: Legions of War,Ascend to Ultimate Victory,https://apps.apple.com/us/app/aion-legions-of-war/id1160925301,13,15,9,4.5,1,1841,0
7,Ant Factory !,Ant Tycoon Idle Game,https://apps.apple.com/us/app/ant-factory/id1436008834,14,16,4,5,0,6076,0
8,Aqueduct,The Waterworks Puzzler,https://apps.apple.com/us/app/aqueduct/id377544857,11,17,4,4.5,1,1312,2.99
9,Aqueduct 101,The Waterworks Puzzler,https://apps.apple.com/us/app/aqueduct-101/id402516081,11,18,4,4,0,1016,0
10,Armello,Board game brought to life!,https://apps.apple.com/us/app/armello/id1154749673,3,19,12,4,1,1213,0
11,Army Battle Simulator,The Ultimate War Experience,https://apps.apple.com/us/app/army-battle-simulator/id1272829053,14,20,12,4.5,1,3733,0
12,Army Men Battle Simulator,Toy War,https://apps.apple.com/us/app/army-men-battle-simulator/id1255687892,14,21,9,3.5,1,886,0
13,Art Inc. - Collection Clicker,Idle Art Business Clicker,https://apps.apple.com/us/app/art-inc-collection-clicker/id1456333098,14,22,4,5,1,11629,0
14,Art Of War 3:RTS Strategy Game,"PvP, co-op real-time battles",https://apps.apple.com/us/app/art-of-war-3-rts-strategy-game/id853680597,3,23,12,5,1,1765,0
15,ASTRONEST - The Beginning,,https://apps.apple.com/us/app/astronest-the-beginning/id901736647,14,8,4,4.5,1,2839,0
16,Auto Chess:Origin,Official Mobile Auto Chess,https://apps.apple.com/us/app/auto-chess-origin/id1464482102,3,25,12,4.5,1,2943,0
17,Bacterial Takeover - Idle game,Grow your super bacteria army!,https://apps.apple.com/us/app/bacterial-takeover-idle-game/id1217470965,14,26,9,4.5,1,670,0
18,Ball Bang,Top fun archer game,https://apps.apple.com/us/app/ball-bang/id1380065101,1,27,4,4.5,1,771,0
19,Ball Smasher,Factory simulator,https://apps.apple.com/us/app/ball-smasher/id1381559021,14,28,4,4.5,1,60917,0
20,Balls Bounce Bricks\uff01Just Shoot,Shot & Swipe More Blocks,https://apps.apple.com/us/app/balls-bounce-bricks-just-shoot/id1439869063,11,29,4,4.5,1,1492,0
21,Balls VS Lasers: A Reflex Game,Dodge the killer laser beams,https://apps.apple.com/us/app/balls-vs-lasers-a-reflex-game/id1438112093,5,30,4,4.5,1,8690,0
22,Battle Beach,,https://apps.apple.com/us/app/battle-beach/id526287269,1,31,12,3.5,1,6932,0
23,Battle Royale Tycoon Idle Game,Unique Idle Game for all Fans!,https://apps.apple.com/us/app/battle-royale-tycoon-idle-game/id1434894823,9,32,12,5,1,11721,0
24,Bear Pop - Bubble Shooter Game,Pop with me now!,https://apps.apple.com/us/app/bear-pop-bubble-shooter-game/id1062166395,8,24,4,4,1,1524,0
25,Bee Factory!,Honey tycoon idle game!,https://apps.apple.com/us/app/bee-factory/id1411267916,14,34,4,5,1,54185,0
26,Big Oil - Clicker Tycoon Game,Idle Petroleum Miner Simulator,https://apps.apple.com/us/app/big-oil-clicker-tycoon-game/id1099665496,13,17,4,4,1,523,0
27,Billionaire Capitalist Tycoon,Play The Best Business Game,https://apps.apple.com/us/app/billionaire-capitalist-tycoon/id881342787,14,4,12,4.5,1,51406,0
28,Bitcoin Billionaire,The Get Rich Idle Clicker!,https://apps.apple.com/us/app/bitcoin-billionaire/id911117141,14,37,12,5,1,48776,0
29,Blaze of Battle,Build. Train. Dragon. Conquer.,https://apps.apple.com/us/app/blaze-of-battle/id1120455929,13,38,12,4,1,6369,0
30,Block Fortress,Build and defend your base,https://apps.apple.com/us/app/block-fortress/id586280100,1,39,12,4.5,1,16629,1.99
31,Bloons TD 6,All New Epic Tower Defense,https://apps.apple.com/us/app/bloons-td-6/id1118115766,1,40,9,5,1,46634,4.99
32,Bloons TD Battles,Realtime PvP Tower Defense,https://apps.apple.com/us/app/bloons-td-battles/id624533261,1,41,9,4.5,1,219230,0
33,Blustone 2,#1 Adventure Anime RPG!,https://apps.apple.com/us/app/blustone-2/id1212635048,2,42,9,4.5,1,2683,0
34,Bubble Pop Spinner,Spin the board & blast bubbles,https://apps.apple.com/us/app/bubble-pop-spinner/id1447869171,5,43,4,4.5,1,1398,0
35,Bubble Shooter Balloon Fly,,https://apps.apple.com/us/app/bubble-shooter-balloon-fly/id1308886071,11,44,4,4.5,0,737,0
36,Bubble Shooter Dragon Pop,Ball Shoot Classic elimination,https://apps.apple.com/us/app/bubble-shooter-dragon-pop/id1316911967,11,36,4,4.5,0,15796,0
37,Business Inc. 3D Simulator,"Run gaming company,become rich",https://apps.apple.com/us/app/business-inc-3d-simulator/id1196907006,14,46,12,4.5,1,3903,0
38,Call of War: Multiplayer RTS,WW2 Real Time Strategy Game,https://apps.apple.com/us/app/call-of-war-multiplayer-rts/id1331030677,14,25,12,4.5,1,1580,0
39,Candy Jewel Easter Match 3,Best Party Match 3 Game,https://apps.apple.com/us/app/candy-jewel-easter-match-3/id725198566,11,40,4,4.5,1,1409,0
40,Candy Jewel World,Cool match 3 Game !,https://apps.apple.com/us/app/candy-jewel-world/id627977589,11,40,4,4.5,1,19424,0
41,Car Wash Empire,Car wash idle strategy,https://apps.apple.com/us/app/car-wash-empire/id1466637212,11,50,4,5,1,658,0
42,Caravan War,PvP Tower Defense,https://apps.apple.com/us/app/caravan-war/id1248777456,14,51,12,4.5,1,566,0
43,"Cash, Inc. Fame & Fortune Game",Fun Strategy Business Clicker!,https://apps.apple.com/us/app/cash-inc-fame-fortune-game/id1270598321,14,52,4,5,1,374772,0
44,Castle Age HD,,https://apps.apple.com/us/app/castle-age-hd/id475561257,13,53,9,4.5,1,13006,0
45,Cats & Cosplay: Tower Defense,Battle & Defend a Kingdom Rush,https://apps.apple.com/us/app/cats-cosplay-tower-defense/id1404755052,7,54,9,5,1,10958,0
